model_id,unit_id,stratum,route,metric_m1_x,metric_m1_y,metric_m2,metric_m3,metric_m4,metric_m5,paired_anchor_error,paired_future_error,unit_pass,autonomous_transition_count
development_model_3,joint_unit_0412,S1_no_contact,matched_wrong_vector,0.017758149666128188,0.2673776137150489,0.20334672089096253,0.11524242968671883,0.09397280607598897,5.077647790312767,0.2673776137150489,0.11524242968671883,true,12
development_model_3,joint_unit_0413,S1_no_contact,matched_wrong_vector,0.5045983675884053,0.3509088401760461,0.833616275772524,0.311016482381652,0.07853543168969636,7.795678824186325,0.5045983675884053,0.311016482381652,false,12
development_model_3,joint_unit_0415,S1_no_contact,matched_wrong_vector,0.15335372686482035,0.13824574967265701,0.19785020959116073,0.12526002550459292,0.027031484905158127,0.4150968510657549,0.15335372686482035,0.12526002550459292,true,12
development_model_3,joint_unit_0416,S1_no_contact,matched_wrong_vector,0.43854156379631365,0.3140990300331839,0.7251966092786847,0.27791916041441384,0.054860532688137814,9.651078283786774,0.43854156379631365,0.27791916041441384,false,12
development_model_3,joint_unit_0417,S1_no_contact,matched_wrong_vector,0.6302594265725231,0.48836935410388366,1.0527576782592634,0.4233007214483909,0.08439731876845201,10.862113535404205,0.6302594265725231,0.4233007214483909,false,12
development_model_3,joint_unit_0418,S1_no_contact,matched_wrong_vector,0.19255088275483512,0.288014860743135,0.33878922558067165,0.20124450324903673,0.024717110083675935,0.3182309912517667,0.288014860743135,0.20124450324903673,true,12
development_model_3,joint_unit_0420,S1_no_contact,matched_wrong_vector,0.18834393097375612,0.35597033154017044,0.45210268285428695,0.22080300174767625,0.034136881025787665,0.2844881499186158,0.35597033154017044,0.22080300174767625,true,12
development_model_3,joint_unit_0424,S1_no_contact,matched_wrong_vector,0.19976303365203882,0.05978041155963769,0.275381513870004,0.14495975608817768,0.04147532029263734,0.90565150603652,0.19976303365203882,0.14495975608817768,true,12
development_model_3,joint_unit_0425,S1_no_contact,matched_wrong_vector,0.26648449310111494,0.18044978299488867,0.386574489013581,0.20538494254879322,0.042209047689588386,4.4654835015535355,0.26648449310111494,0.20538494254879322,true,12
development_model_3,joint_unit_0427,S1_no_contact,matched_wrong_vector,0.3384541300790506,0.17630426197297003,0.4966996620037243,0.22351300138517413,0.04848384199385005,3.5179100930690765,0.3384541300790506,0.22351300138517413,true,12
