public_unit_id,family,seed,route,edited_object,delta_vx,delta_vy,M1,joint_pass,anchor_rmse,k1_rmse,t19_rmse
joint-a5ed81533299a3f553ae,M1,291301,single_only_addressable,1,0.0660007618367672,0.1320015236735344,0.2561502455792976,true,0.03968353579462381,0.04441815284932735,0.12825400592562536
joint-1b3125f558c72b1ea5e4,M1,291301,single_only_addressable,1,-0.0660007618367672,0.1320015236735344,0.12177124187388379,true,0.023865803136503078,0.03186955197725015,0.10472517101375309
joint-3dcb938aa6f788013529,M1,291301,single_only_addressable,0,-0.0660007618367672,-0.0660007618367672,0.09601739263473973,true,0.027420311056870098,0.032364201575911085,0.09877944285678696
joint-f3d0c584cd58125ec9bd,M1,291301,single_only_addressable,0,-0.0660007618367672,-0.1320015236735344,0.12160213180792888,true,0.028268457927587302,0.0377338095995253,0.14581574482204687
joint-a4fe2bd135f56d3a3b4d,M1,291301,single_only_addressable,0,-0.1320015236735344,-0.0660007618367672,0.1481924132508327,true,0.03234007658975399,0.03646970181505607,0.13726512446394873
joint-baf9ad5b2a0e2663433b,M1,291301,single_only_addressable,0,0.1320015236735344,0.1320015236735344,0.33586000111652337,true,0.062927066395479,0.05617265478933435,0.31475200130425
joint-63dd4abeb6e1325c7806,M1,291301,single_only_addressable,0,-0.1320015236735344,0.1320015236735344,0.47592421880792984,false,0.07240175979696059,0.0811700026657632,0.2721663962141904
joint-89a8114aac92bfca40db,M1,291301,single_only_addressable,0,0.0660007618367672,0.1320015236735344,0.21654110935653823,true,0.04253808319101257,0.041278354611696,0.16657187783072638
joint-fdd9add87d3e0887f0db,M1,291301,single_only_addressable,0,-0.0660007618367672,-0.0660007618367672,0.02353759332854406,true,0.014149966733499926,0.022302074795208886,0.06268427667780994
joint-8deb233befdaaa44244e,M1,291301,single_only_addressable,0,-0.0660007618367672,-0.1320015236735344,0.3574843633430567,true,0.055264252437763416,0.0667241192932676,0.2562431669389317
joint-750a25537e1c577ecb17,M1,291301,single_only_addressable,0,0.1320015236735344,0.0660007618367672,0.35172771717545454,true,0.056516956038582804,0.05228340967392142,0.26808988650614624
