model_id,unit_id,stratum,coefficient_max_abs_error,patch_max_abs_error,rollout_max_abs_error
development_model_1,joint_unit_0420,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0424,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0425,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0427,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0429,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0441,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0442,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0444,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0445,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0446,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0447,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0448,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0449,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0450,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0451,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0453,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0457,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0458,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0459,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0461,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0462,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0463,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0464,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0466,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0467,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0468,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0469,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0472,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0474,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0475,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0478,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0480,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0482,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0484,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0485,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0487,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0488,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0491,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0492,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0494,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0495,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0496,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0500,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0501,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0504,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0507,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0508,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0510,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0511,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0512,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0001,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0004,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0007,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0008,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0009,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0015,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0016,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0017,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0018,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0021,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0024,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0026,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0028,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0029,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0031,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0033,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0038,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0039,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0040,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0042,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0043,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0046,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0047,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0049,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0051,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0054,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0056,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0059,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0061,S2_interaction_sensitive,3.552713678800501e-15,0.0,0.0
