public_unit_id,family,seed,stratum,vector_class,E_add,R_norm,R_norm_error,cos_add,cos_xy
joint-08a29e94c959b15daf6c,M0,291301,future_contact,P2,1.041290773987982,0.41571754551800977,0.877749226450399,0.7571536490406902,-0.19723163891821657
joint-009344968abd7434a0a8,M0,291301,no_contact_within_horizon,P3,0.4817330673283564,1.3453517236096872,0.2966554834099677,0.9257208704239163,0.03329629528118218
joint-0d9b039cb21daac03d2a,M0,291301,no_contact_within_horizon,P0,0.7963324271534511,0.7061687478648097,0.3479010504109972,0.7343663722470734,-0.002543929302448339
joint-96bbd61ef63ebf358d5e,M0,291301,no_contact_within_horizon,P0,0.6332912421795616,1.7380967636664564,0.552790700590544,0.9404770829473336,0.9106303367793752
joint-71226efdc82c7b8eb4e1,M0,291301,future_contact,P3,0.27166646194157323,1.0147687613646335,0.014660765222900485,0.9632041547609299,0.4757363636417086
joint-2b6a5ce6c26b3991652e,M0,291301,no_contact_within_horizon,P1,0.4052779251295483,1.3846781740069845,0.32546774730037653,0.969114595937582,0.9049752864756373
joint-c45a492c6ab0e2e5bfbe,M0,291301,future_contact,P2,0.1816493615909778,1.0342042983740545,0.033632337202302735,0.9840627092108986,0.6710295357386121
joint-b2b2ebaf8b3253aafde3,M0,291301,future_contact,P3,0.6376278991723899,1.8133105384203085,0.5951542013966348,0.9605704057074521,0.968105498613003
joint-58d5f239e12552c3626e,M0,291301,future_contact,P3,0.5688971480158223,1.4643960466857346,0.38144290264662534,0.9058557901243203,0.9630654873160003
joint-fc2b76f0772372bf8c3c,M0,291301,no_contact_within_horizon,P2,0.6573752930060871,1.7822920776282056,0.5779002200106925,0.9370645903338812,-0.21925911266458484
joint-fe2aefddb9b7745686ad,M0,291301,future_contact,P0,0.8669936147398083,1.5617958551180082,0.44583634832948804,0.7062154392921727,0.4272130541847066
joint-8b6ff975d45da97a4933,M0,291301,no_contact_within_horizon,P3,0.30361925817007407,1.2045289048573216,0.1860885401757417,0.9708719832993028,0.2919974575435617
joint-175e17d0ef9573bac40e,M0,291301,no_contact_within_horizon,P3,0.9500318943537165,2.486910295640344,0.9110410948665102,0.8929287209695245,0.9352585757422868
joint-a3d06b9cb0966439eddd,M0,291301,future_contact,P1,0.9000616352000873,0.6269958739078556,0.4668153190600947,0.6834251511026275,-0.06529450625847595
joint-04c90cd2b55e51d7395c,M0,291301,future_contact,P1,0.8903746285783987,1.7212923529160538,0.5430753766642112,0.724790259188512,0.5150993329489645
joint-03d19206c4766692b70a,M0,291301,no_contact_within_horizon,P0,0.5651083643417063,1.6550897005271654,0.5038552070745741,0.9596192353413977,0.9450492503962507
joint-f3533a47857412ee6574,M0,291301,no_contact_within_horizon,P0,0.6423179452107358,0.6425185673351594,0.44235956405419435,0.8829034791611835,-0.4581795562324987
joint-19e423cc276169fd1073,M0,291301,future_contact,P2,0.29013462139974644,0.7715127620361679,0.25940206546717137,0.991032735088884,0.0850644929895015
joint-ff96f3eeddc533681410,M0,291301,future_contact,P2,0.7309766148001647,1.9354459110022286,0.6603377448957753,0.9287002890223699,0.8609220615089097
joint-c4e21270ec4d0d7be262,M0,291301,no_contact_within_horizon,P1,1.2504778839199449,2.667503945231224,0.9811431831921993,0.5355988899914592,0.19478696187988961
joint-f3c2aa3445150de38445,M0,291301,no_contact_within_horizon,P1,1.030366013944829,0.7345036369208738,0.30856033182039067,0.5044210726583287,0.05601114637385834
joint-9b1bd063fe31242ee1d4,M0,291301,no_contact_within_horizon,P2,0.7512401370752351,2.002936667820135,0.694614437521861,0.9334928560549847,0.7663696393817794
joint-dc07119105a4b0f17fef,M0,291301,no_contact_within_horizon,P3,1.6994073487706671,0.26796748556299055,1.316889628357608,-0.16602187393594525,0.43131956575130065
joint-e62d176dd1f3b78034aa,M0,291301,no_contact_within_horizon,P0,0.712190669542992,0.6960028414826661,0.36240153606601366,0.8043630971956104,0.07834947525121916
joint-7fb044ff7f38057c2332,M0,291301,no_contact_within_horizon,P1,1.042033922250888,0.6971431143034771,0.3607645603123871,0.5050093118085973,0.08554039247957877
joint-86e6ae730070eee6983b,M0,291301,future_contact,P0,0.3269835119062632,1.3047984751108652,0.26604860364745536,0.9811894905274459,0.2946232022571467
joint-9a206f19112cd83d8451,M0,291301,no_contact_within_horizon,P3,0.41266686595523067,1.3218574231394982,0.2790378862483549,0.9523691474886703,0.05903762846605413
joint-d9be6f5c2e8106f0264a,M0,291301,no_contact_within_horizon,P0,0.34244559595500434,1.2309643738315934,0.2077979059480987,0.9623980517910669,0.16578976883243532
joint-6f8a92fc80c9c4920afe,M0,291301,future_contact,P0,0.5858198092744782,1.334914896068584,0.288867541556973,0.866816166010933,0.383333154418514
joint-2a31fc646bfd539046d7,M0,291301,future_contact,P1,1.0552695066410067,0.4565942012178635,0.7839602448841617,0.6765412128300827,0.28816566579764974
joint-e8ed568644109d3c68dd,M0,291301,no_contact_within_horizon,P0,0.48418982959135387,0.7575661359681901,0.27764443720092086,0.91929799001129,-0.16449045150880037
joint-310c46903e1f1c1d5a60,M0,291301,no_contact_within_horizon,P0,0.6578947440662771,1.7723960986542238,0.5723323591752499,0.9336779331714556,0.8978274152636695
joint-1285f64b5ffdc41a435d,M0,291301,future_contact,P0,1.022369238209899,0.547219665735415,0.6029049744756209,0.6157518021004322,-0.05782902762243308
joint-70524fe1e7c2518c400a,M0,291301,no_contact_within_horizon,P1,0.4973717299974851,1.2867176829524176,0.25209454398560965,0.9062795565499984,0.17691379213934635
joint-41ae71c0e6c6d51506eb,M0,291301,future_contact,P0,1.0745156535107214,0.6963349493521236,0.36192448534176846,0.46980874070473105,-0.2467095890280016
joint-f2a415df92c5dbd9c22b,M0,291301,no_contact_within_horizon,P2,0.2940745469216479,0.8224166896087318,0.1955080907022159,0.975518228878942,-0.060037979287041396
joint-05f0f9643ecc833a54a1,M0,291301,no_contact_within_horizon,P3,0.27895237096705544,1.1899379114482855,0.17390113050872055,0.9759568376594514,0.31003862563463747
joint-6731d5008cdff8444b8a,M0,291301,no_contact_within_horizon,P1,1.2837295053491902,0.2691971040445825,1.3123114389047084,0.7593093521142389,0.4259985977741217
